,ID Estado,Consumo Litros de Alcohol,Consumo de Mariguana,Consumo de Cocaina,% de Desempleados,TOTAL,Total de Automoviles,Total de Camiones de Pasajeros,Total de Camiones de Carga,Total de Motocicletas,Poblacion,Usuarios con acceso a internet
0,1,8.178,3.1,0.5,3.480096033,569134,357999,1470,151656,58009,1184996, 881 527
1,2,4.97,3.8,0.6,2.519528163,1520236,1149333,8092,343073,19738,3155070,2 687 498
2,3,4.843500000000001,2.8499999999999996,0.3,3.7243346589999997,492200,330488,5804,146241,9667,637026, 575 533
3,4,6.9425,1.25,0.7,3.26691104,306254,153443,940,61851,90020,822441, 568 203
4,5,,,,4.134532124,924840,568805,98620,255022,2393,2748391,1 921 640
5,6,6.279999999999999,2.3,0.3,3.22516374,327683,170049,1395,99183,57056,650555, 511 611
6,7,2.399,0.85,0.2,2.811304989,851853,430746,8493,309319,103295,4796580,2 000 097
7,8,5.7605,2.8499999999999996,1.1,3.122491539,1536013,1076600,8459,427997,22957,3406465,2 470 795
8,9,4.795,2.6,0.65,4.609661861,5471904,5008454,32245,83354,347851,8851080,6 326 947
9,10,5.9285,1.95,0.7999999999999999,4.268566486,665694,426017,2686,213673,23318,1632934,1 065 077
10,11,5.1775,1.75,0.8999999999999999,3.5706328430000003,1994985,1093291,29562,569104,303028,5486372,3 247 118
11,12,4.199,1.95,1.1,1.20775,1129506,789990,58380,217150,63986,3388768,1 666 367
12,13,4.1194999999999995,2.2,0.55,2.507879125,785841,467807,2137,300331,15566,2665018,1 548 210
13,14,7.999499999999999,3.5,1.95,2.744111551,3605557,2115230,11576,1062735,416016,7350682,5 432 400
14,15,3.0475000000000003,1.85,0.6000000000000001,4.023838422,7271930,5490768,23955,1260750,496457,15175862,11 371 719
15,16,7.5455000000000005,1.9500000000000002,0.9500000000000001,2.171464736,2487493,1257793,14173,999305,216222,4351037,2 429 739
16,17,4.5985,2.6,0.30000000000000004,2.122239165,707509,522254,6122,127277,51856,1777227,1 244 695
17,18,4.814,2.3,0.7,3.921055237,413509,211116,1915,170524,29954,1084979, 741 028
18,19,7.456,1.0,0.85,3.5859433889999996,2129728,1593335,8700,458053,69640,4653458,3 802 986
19,20,4.016,1.8,0.7000000000000001,1.569491296,552387,237835,4149,206657,103746,3801962,1 791 637
20,21,2.713,2.75,1.4,2.563996605,1492217,952504,11036,447316,81361,5779829,3 209 166
21,22,5.1365,2.75,1.05,3.757769865,508206,348948,5395,131358,22505,1827937,1 322 778
22,23,6.610499999999999,1.5,1.5499999999999998,2.723690192,756672,448952,2591,112109,193020,1325578,1 196 609
23,24,5.496999999999999,2.75,0.25,2.474356348,1137791,616522,4634,360897,155738,2585518,1 547 420
24,25,4.3745,2.95,0.95,3.162299813,1188477,696242,7987,393440,90808,2767761,1 962 223
25,26,4.121,2.15,0.75,3.6601447830000002,1057012,708637,5062,320200,23113,2662480,2 173 648
26,27,5.5225,1.25,1.4,7.293646066,589624,348021,2987,146126,92490,2238603,1 228 185
27,28,4.6605,1.5999999999999999,0.35,3.833408633,1175178,809583,5969,337580,22046,3268554,2 401 987
28,29,2.9575,1.85,0.15,3.695054658,655367,460222,6354,142351,46440,1169936, 738 188
29,30,5.362,1.85,0.5,3.0380687269999997,1951430,1152039,13110,630701,155580,7643194,4 047 578
30,31,5.0975,1.85,0.55,1.8015546269999998,770875,475917,2778,130074,162106,1955577,1 400 366
31,32,5.873500000000001,1.75,0.95,2.911128754,449028,227602,1808,191198,28420,1490668, 812 404
