Estado,Año,q1,q2,q3,q4,Total
Aguascalientes,2018,3.645497771,3.419255888,3.635508714,3.220121759,3.480096033
Baja California,2018,2.276900351,2.656614669,2.752860911,2.391736722,2.519528163
Baja California Sur,2018,3.658032637,3.776642609,3.732489394,3.730173997,3.724334659
Campeche,2018,2.62545238,3.32160291,3.64243027,3.4781586,3.26691104
Coahuila de Zaragoza,2018,4.008466958,3.861289609,4.56678326,4.101588669,4.134532124
Colima,2018,3.370616093,2.708303611,3.121838282,3.699896974,3.22516374
Chiapas,2018,2.187227862,2.909327072,2.705977949,3.442687072,2.811304989
Chihuahua,2018,3.52315198,3.189742383,3.149166793,2.627904998,3.122491539
Distrito Federal,2018,3.914474128,4.993327268,4.402932336,5.127913711,4.609661861
Durango,2018,4.227325967,3.615681163,4.592071794,4.639187019,4.268566486
Guanajuato,2018,3.399827952,3.5522351,3.636333219,3.694135099,3.570632843
Guerrero,2018,1.238,0.847,1.534,1.212,1.20775
Hidalgo,2018,2.295548276,2.426361313,2.937396165,2.372210745,2.507879125
Jalisco,2018,2.524366283,3.078594646,2.811807625,2.561677649,2.744111551
México,2018,4.330962446,4.107376318,3.670010436,3.987004487,4.023838422
Michoacán de Ocampo,2018,2.037456502,2.020262669,2.205795287,2.422344486,2.171464736
Morelos,2018,2.156840029,2.199404338,2.09584206,2.036870232,2.122239165
Nayarit,2018,3.802586049,4.02827173,4.033934886,3.819428283,3.921055237
Nuevo León,2018,3.530317338,3.527067145,3.581770369,3.704618705,3.585943389
Oaxaca,2018,1.269747135,1.484459186,1.540768229,1.982990635,1.569491296
Puebla,2018,2.377127677,2.542748742,2.697174011,2.638935991,2.563996605
Querétaro,2018,3.20720164,3.87003818,4.25286708,3.70097256,3.757769865
Quintana Roo,2018,2.725261996,2.742298783,2.554287142,2.872912846,2.723690192
San Luis Potosí,2018,2.935493742,2.332476989,2.313366252,2.316088408,2.474356348
Sinaloa,2018,2.504269944,3.645607121,3.074867075,3.424455112,3.162299813
Sonora,2018,3.44638403,3.633982528,3.814924646,3.745287927,3.660144783
Tabasco,2018,7.336070892,6.634101908,7.419269081,7.785142383,7.293646066
Tamaulipas,2018,3.875754919,3.978600364,3.542653466,3.936625783,3.833408633
Tlaxcala,2018,3.739531571,3.442242406,3.578453307,4.019991347,3.695054658
Veracruz de Ignacio de la Llave,2018,2.894316395,3.229480202,3.247533776,2.780944535,3.038068727
Yucatán,2018,2.021741177,1.689430651,1.717533388,1.777513293,1.801554627
Zacatecas,2018,3.365940035,2.691051486,2.89594135,2.691582145,2.911128754
