Entidad Federativa,Usuarios con acceso a internet
Estados Unidos Mexicanos,74 325 379
Aguascalientes, 881 527
Baja California,2 687 498
Baja California Sur, 575 533
Campeche, 568 203
Coahuila de Zaragoza,1 921 640
Colima, 511 611
Chiapas,2 000 097
Chihuahua,2 470 795
Ciudad de México,6 326 947
Durango,1 065 077
Guanajuato,3 247 118
Guerrero,1 666 367
Hidalgo,1 548 210
Jalisco,5 432 400
México,11 371 719
Michoacán de Ocampo,2 429 739
Morelos,1 244 695
Nayarit, 741 028
Nuevo León,3 802 986
Oaxaca,1 791 637
Puebla,3 209 166
Querétaro,1 322 778
Quintana Roo,1 196 609
San Luis Potosí,1 547 420
Sinaloa,1 962 223
Sonora,2 173 648
Tabasco,1 228 185
Tamaulipas,2 401 987
Tlaxcala, 738 188
Veracruz de Ignacio de la Llave,4 047 578
Yucatán,1 400 366
Zacatecas, 812 404
